Gene stable ID	NCBI gene (formerly Entrezgene) ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene name
WBGene00007860	175465		G5EDL7	rilp-1
WBGene00007861	183105		Q18349	C32A9.1
WBGene00007862	183120		Q18351	kvs-2
WBGene00007862	183120		A7UQ08	kvs-2
WBGene00007862	183120		D5MCS0	kvs-2
WBGene00007862	183120		D9N131	kvs-2
WBGene00007862	183120		D9N132	kvs-2
WBGene00007862	183120		D9N133	kvs-2
WBGene00007862	183120		J3K003	kvs-2
WBGene00007862	183120		H9G2X0	kvs-2
WBGene00007863	183122		Q18353	C32C4.3
WBGene00007863	183122		D5MCS2	C32C4.3
WBGene00007864	183126		H9G327	irg-6
WBGene00007864	183126		H9G326	irg-6
WBGene00007865	183127		Q9XUH1	srz-15
WBGene00007866	183128		Q9XUH8	C32H11.3
WBGene00007867	178244		Q9XUH7	C32H11.4
WBGene00007868	183129		Q9XUH6	C32H11.5
WBGene00007869	183130		Q9XUH5	C32H11.6
WBGene00007871	183132		G5EBS0	C32H11.8
WBGene00007872	183133		Q9XUH4	C32H11.9
WBGene00007873	183134		Q9U3N6	dod-21
WBGene00007874	183135		G5EBS0	C32H11.11
WBGene00007875	178245		Q9XUH3	dod-24
WBGene00007876	183136		Q9XUH2	dct-19
WBGene00007877	181625	G5EDE9		nfki-1
WBGene00007878	181626		Q93319	C33A11.2
WBGene00007880	177786	Q18359		C33A12.1
WBGene00007881	183138		Q18356	nlp-35
WBGene00007882	183139		Q18357	C33A12.3
WBGene00007882	183139		H2L294	C33A12.3
WBGene00007883	177784		Q18358	C33A12.4
WBGene00007885	183141		Q18361	ugt-21
WBGene00007885	183141		A0A061AKV1	ugt-21
WBGene00007886	177783		O17636	ethe-1
WBGene00007887	177782		G5EFA7	gadr-2
WBGene00007888	183147		O17635	ttr-9
WBGene00007890	259588		Q86D15	C33A12.19
WBGene00007890	259588		A0A061ACS0	C33A12.19
WBGene00007891	183149		Q09492	C33B4.2
WBGene00007892	259464		Q7YX74	C33B4.4
WBGene00007892	259464		Q7YX74	C33B4.4
WBGene00007893	3565461		Q7YX73	C33B4.5
WBGene00007894	183156		Q18369	C33D3.3
WBGene00007895	183157		Q18370	C33D3.4
WBGene00007896	259722		G5ED69	C33D3.5
WBGene00007897	183158		Q18373	clec-182
WBGene00007898	177691		Q86D17	C33D9.3
WBGene00007898	177691		Q86D16	C33D9.3
WBGene00007900	259585		Q18377	C33D9.6
WBGene00007900	259585		Q18377	C33D9.6
WBGene00007900	259585		I7LHV5	C33D9.6
WBGene00007901	183160		Q18376	C33D9.8
WBGene00007901	183160		Q18376	C33D9.8
WBGene00007903	181516		Q93323	lgc-21
WBGene00007904	181517	Q93324		C33G3.4
WBGene00007905	183169		Q93322	C33G3.5
WBGene00007906	181518		Q93321	C33G3.6
WBGene00007906	181518		Q93321	C33G3.6
WBGene00007907	179793		Q18419	C34B4.2
WBGene00007907	179793		Q18419	C34B4.2
WBGene00007907	179793		Q18419	C34B4.2
WBGene00007907	179793		Q18419	C34B4.2
WBGene00007908	179792		G5EC47	C34B4.3
WBGene00007909	3565177		Q6BES5	C34B4.4
WBGene00007910	3564856		Q6BES6	C34B4.5
WBGene00007911	172618		P90769	C34B7.1
WBGene00007912	172620		P90770	figo-1
WBGene00007913	183193	P90771		cyp-36A1
WBGene00007914	183194		Q95ZX6	mys-4
WBGene00007916	183196		Q18424	C34C6.3
WBGene00007917	174390		Q18429	chdh-1
WBGene00007918	183197	Q18425		sphk-1
WBGene00007918	183197	Q18425		sphk-1
WBGene00007918	183197	Q18425		sphk-1
WBGene00007918	183197	Q18425		sphk-1
WBGene00007919	174393		B7WN88	cup-16
WBGene00007919	174393		B7WN89	cup-16
WBGene00007920	183198		Q09494	C34C12.1
WBGene00007921	175448		Q09495	C34C12.2
WBGene00007922	183199	Q09496		pph-6
WBGene00007923	183200	Q09269		C34C12.4
WBGene00007924	175451		Q09497	rsu-1
WBGene00007924	175451		Q09497	rsu-1
WBGene00007925	175452	Q09270		C34C12.6
WBGene00007926	183201	Q09271		C34C12.7
WBGene00007927	175449	Q18421		C34C12.8
WBGene00007928	3565744		Q7YX95	C34C12.9
WBGene00007929	183202		G5EEJ1	dmd-10
WBGene00007931	179807		Q18433	C34D1.4
WBGene00007931	179807		H2L2D5	C34D1.4
WBGene00007931	179807		H2L2D4	C34D1.4
WBGene00007932	183204		G5EBE5	zip-5
WBGene00007932	183204		G5EG34	zip-5
WBGene00007932	183204		B1V8I9	zip-5
WBGene00007933	183211		Q18458	C34E7.3
WBGene00007934	181426		G5ECE7	C34E7.4
WBGene00007935	181359		E0AHB1	C34E11.2
WBGene00007935	181359		Q18454	C34E11.2
WBGene00007935	181359		E0AHB2	C34E11.2
WBGene00007935	181359		A0A4V0IN49	C34E11.2
WBGene00007935	181359		A0A4V6M3C5	C34E11.2
WBGene00007935	181359		A0A4V0IK80	C34E11.2
WBGene00007935	181359		A0A4V0IIZ5	C34E11.2
WBGene00007937	3565303		Q7YTS5	C34E11.4
WBGene00007938	181306		O17644	C34F6.1
WBGene00007939	183215		O17639	C34F6.5
WBGene00007939	183215		E9P891	C34F6.5
WBGene00007941	181310		O17638	C34F6.7
WBGene00007942	181311		O17643	idh-2
WBGene00007943	181312		O17646	C34F6.9
WBGene00007944	181313		G5EF49	C34F6.10
WBGene00007944	181313		G5EF49	C34F6.10
WBGene00007944	181313		A0A486WVV5	C34F6.10
WBGene00007944	181313		A0A486WX36	C34F6.10
WBGene00007944	181313		A0A486WY49	C34F6.10
WBGene00007944	181313		A0A486WY49	C34F6.10
WBGene00007945	3565284		Q7YX65	C34F6.11
WBGene00007946	179464		Q18470	ugt-33
WBGene00007947	179465		Q18472	C35A5.3
WBGene00007948	183222		Q18471	C35A5.4
WBGene00007949	183223	Q18473		C35A5.5
WBGene00007950	183224	Q18474		C35A5.6
WBGene00007950	183224	Q18474		C35A5.6
WBGene00007951	183225		Q18475	dmsr-8
WBGene00007952	179467		Q18476	C35A5.8
WBGene00007953	183226		Q18477	hda-11
WBGene00007954	183230		Q93332	gcp-2.2
WBGene00007955	181343	Q9U3N5		selt-1.1
WBGene00007955	181343	Q9U3N5		selt-1.1
WBGene00007956	181345		Q93330	trpp-9
WBGene00007957	181342		Q95QS2	C35C5.8
WBGene00007957	181342		Q93334	C35C5.8
WBGene00007957	181342		Q93334	C35C5.8
WBGene00007957	181342		Q93334	C35C5.8
WBGene00007958	183231		Q93333	C35C5.9
WBGene00007958	183231		Q93333	C35C5.9
WBGene00007959	3564990		Q7YTQ9	C35C5.10
WBGene00007959	3564990		A6ZJ73	C35C5.10
WBGene00007960	183234		O45288	C35D6.3
WBGene00007960	183234		O45288	C35D6.3
WBGene00007961	183235		O45289	C35D6.4
WBGene00007963	183247		Q27477	cyp-25A1
WBGene00007964	175495		Q27476	cyp-25A2
WBGene00007965	175497	Q18493		C36A4.4
WBGene00007966	175498		Q18494	maph-1.3
WBGene00007967	183248		Q27479	cyp-25A4
WBGene00007969	175500		Q18496	acs-19
WBGene00007969	175500		Q65ZB8	acs-19
WBGene00007970	175494		Q18497	C36A4.10
WBGene00007970	175494		Q18497	C36A4.10
WBGene00007970	175494		Q18497	C36A4.10
WBGene00007970	175494		Q18497	C36A4.10
WBGene00007970	175494		Q18497	C36A4.10
WBGene00007970	175494		Q18497	C36A4.10
WBGene00007970	175494		Q18497	C36A4.10
WBGene00007971	172680		Q93338	rpb-3
WBGene00007972	183250		Q93339	prp-4
WBGene00007973	183251		Q93340	C36B1.6
WBGene00007973	183251		B2D6P0	C36B1.6
WBGene00007974	172681	Q93341		dhfr-1
WBGene00007975	172682	Q8I4M5		gls-1
WBGene00007975	172682	Q8I4M5		gls-1
WBGene00007975	172682	Q8I4M5		gls-1
WBGene00007976	183252		Q93343	C36B1.9
WBGene00007977	172683		Q93344	gska-3
WBGene00007978	172685		Q93345	C36B1.11
WBGene00007979	172684		Q93346	imp-1
WBGene00007979	172684		Q93346	imp-1
WBGene00007979	172684		Q564X1	imp-1
WBGene00007979	172684		Q564X0	imp-1
WBGene00007979	172684		Q564X0	imp-1
WBGene00007980	175517	P48322		C36E8.1
WBGene00007981	175516		O62089	glb-11
WBGene00007982	175518		Q18500	pxd-1
WBGene00007983	183279		Q18501	C36E8.4
WBGene00007984	172789	Q93348		irx-1
WBGene00007985	172790		Q93349	swah-1
WBGene00007985	172790		Q93349	swah-1
WBGene00007986	183280		Q93351	C36F7.5
WBGene00007987	178230		Q18503	C36H8.1
WBGene00007988	173285		O62095	best-8
WBGene00007989	259409		O62092	fipr-22
WBGene00007990	173283		O62091	fipr-23
WBGene00007991	173286		O62096	C37A5.7
WBGene00007992	183286		O62093	fipr-24
WBGene00007993	181528	Q93353		idhb-1
WBGene00007993	181528	Q93353		idhb-1
WBGene00007994	183292		Q93354	C37E2.2
WBGene00007995	183293		Q93355	C37E2.3
WBGene00007996	175124		O45299	C38C6.3
WBGene00007997	183306	O45300		sre-13
WBGene00007999	175123		G5EFR0	tag-297
WBGene00008000	176317	Q03567		slc-17.2
WBGene00008001	183309	Q03568		C38C10.3
WBGene00008002	176319		Q7YX47	nlp-48
WBGene00008003	175633		Q18507	enu-3.2
WBGene00008005	175635		Q18509	C38D4.4
WBGene00008006	175636	P46941		tag-325
WBGene00008006	175636		A0A131MCR8	tag-325
WBGene00008006	175636		A0A131MCX1	tag-325
WBGene00008007	183310		Q18512	C38D4.7
WBGene00008008	175637		Q18511	metl-5
WBGene00008009	183312		Q9XVC5	fbxa-171
WBGene00008010	183313		Q9XVC4	C38D9.2
WBGene00008010	183313		Q9XVC4	C38D9.2
WBGene00008010	183313		Q9XVC4	C38D9.2
WBGene00008010	183313		Q9XVC4	C38D9.2
WBGene00008012	183315		Q9XVC2	fbxa-133
WBGene00008014	183317		Q9U3N1	fbxa-172
WBGene00008015	183318		Q9U3N2	fbxa-174
WBGene00008016	183319		Q9U3N3	C38D9.8
WBGene00008017	183320		Q9U3N0	fbxa-176
WBGene00008018	176454		I2HAA0	tbc-8
WBGene00008018	176454		I2HA99	tbc-8
WBGene00008019	176455	Q18515		C38H2.2
WBGene00008020	3565002		Q7YX56	C38H2.3
WBGene00008021	183330		Q18517	C39B10.1
WBGene00008022	183331		Q18518	lgc-41
WBGene00008022	183331		A7LPG1	lgc-41
WBGene00008022	183331		A0A4V0IK65	lgc-41
WBGene00008022	183331		A0A4V0IK40	lgc-41
WBGene00008022	183331		A0A4V0IKL0	lgc-41
WBGene00008022	183331		A0A4V0IND2	lgc-41
WBGene00008022	183331		A0A4V0IN65	lgc-41
WBGene00008022	183331		A0A4V6Z7Z1	lgc-41
WBGene00008022	183331		A0A4V0IK97	lgc-41
WBGene00008022	183331		A0A4V0IJ17	lgc-41
WBGene00008023	183332		Q18521	C39B10.3
WBGene00008024	183333		Q18519	C39B10.4
WBGene00008025	183334		Q18520	C39B10.5
WBGene00008027	178253		Q18543	scl-5
WBGene00008028	183343		Q18538	scl-6
WBGene00008029	183344		Q18539	scl-7
WBGene00008030	183345		Q18540	scl-8
WBGene00008031	183346		Q18544	C39E9.7
WBGene00008031	183346		Q18544	C39E9.7
WBGene00008032	178255		Q18541	C39E9.8
WBGene00008032	178255		Q7JLS6	C39E9.8
WBGene00008032	178255		B3GWC9	C39E9.8
WBGene00008032	178255		D3YT45	C39E9.8
WBGene00008032	178255		D3YT46	C39E9.8
WBGene00008032	178255		D3YT47	C39E9.8
WBGene00008032	178255		D3YT48	C39E9.8
WBGene00008033	178256		Q18545	spin-2
WBGene00008034	178257		Q18535	prcc-1
WBGene00008035	178258		Q18546	C39E9.12
WBGene00008036	183358		Q18555	C40C9.3
WBGene00008037	183359		A0A3B1E543	C40C9.4
WBGene00008037	183359		A0A3B1E8U4	C40C9.4
WBGene00008039	183366	Q03573		C40H1.3
WBGene00008040	176312	Q03575		ttr-5
WBGene00008041	176313	Q03598		ufc-1
WBGene00008042	176311		A0A1I6CM73	C40H1.7
WBGene00008042	176311		A0A1I6CM68	C40H1.7
WBGene00008043	3565371		Q7YX61	C40H1.8
WBGene00008044	3565853		Q7YX60	C40H1.9
WBGene00008045	183369		Q9U3M6	C40H5.2
WBGene00008045	183369		D7SFP9	C40H5.2
WBGene00008045	183369		A0A4V0ILG5	C40H5.2
WBGene00008047	183371		Q9U3M7	lact-7
WBGene00008050	174304	Q09272		chst-1
WBGene00008051	183375		Q09498	lron-4
WBGene00008052	174308	Q09500		ctns-1
WBGene00008052	174308	Q09500		ctns-1
WBGene00008053	174309	P54812		cdc-48.2
WBGene00008054	3565682		Q7YX62	C41C4.9
WBGene00008056	183381	O17657		nhr-164
WBGene00008057	183382		O17659	irld-25
WBGene00008058	183388		O17664	C41G6.12
WBGene00008059	180031		G5EGT5	C41G6.13
WBGene00008061	172786	Q93367		mina-1
WBGene00008062	183391		Q93368	set-32
WBGene00008063	172787		Q93370	cylc-2
WBGene00008064	183392	Q93364		C41G7.7
WBGene00008065	183408		I2HAC9	npr-18
WBGene00008065	183408		I2HAD0	npr-18
WBGene00008065	183408		I2HAC6	npr-18
WBGene00008065	183408		I2HAC8	npr-18
WBGene00008066	180268		Q9XVB8	fbxb-65
WBGene00008067	183409		Q9XVC1	C43D7.4
WBGene00008068	183410		Q9XVB9	sdz-6
WBGene00008069	183412		Q9XVC0	C43D7.7
WBGene00008070	180267		Q9XVB6	C43D7.8
WBGene00008071	3564913		Q7JKV5	fbxb-64
WBGene00008072	183414		Q9XUG7	C43F9.4
WBGene00008073	183415		Q9XUG6	C43F9.5
WBGene00008074	177950		Q9XUG9	nkb-2
WBGene00008075	183416		Q9XUG8	C43F9.7
WBGene00008076	259591		Q7YTP9	lgc-43
WBGene00008076	259591		Q7YTP9	lgc-43
WBGene00008077	3565159		Q7YTP8	oac-8
WBGene00008078	183433		Q18602	vps-50
WBGene00008079	183434		Q18603	C44B9.2
WBGene00008080	183435		Q18604	C44B9.3
WBGene00008081	176517		Q18605	athp-1
WBGene00008081	176517		Q18605	athp-1
WBGene00008082	176518		Q18606	com-1
WBGene00008084	183452		Q18613	C44C10.3
WBGene00008085	183453	Q18616		smcl-1
WBGene00008086	183454		Q18617	C44C10.5
WBGene00008088	183456		Q18615	C44C10.7
WBGene00008089	3565088		Q18614	C44C10.9
WBGene00008089	3565088		A4UVK2	C44C10.9
WBGene00008089	3565088		J7RNJ1	C44C10.9
WBGene00008089	3565088		J7SF86	C44C10.9
WBGene00008089	3565088		J7SEY1	C44C10.9
WBGene00008090	183458		Q18618	C44C10.10
WBGene00008091	183460		G5EFT9	C44F1.1
WBGene00008092	175487		Q18624	gmeb-3
WBGene00008093	181553		Q93377	lron-1
WBGene00008094	181552		G5EE16	C44H4.4
WBGene00008095	183461		Q93372	C44H4.6
WBGene00008096	259735		Q8MQA2	C44H4.8
WBGene00008097	183462		Q18629	ugt-15
WBGene00008099	179760		Q18633	C44H9.4
WBGene00008100	183464		Q18634	C44H9.5
WBGene00008100	183464		A0A3B1E3S9	C44H9.5
WBGene00008101	183465		Q18631	C44H9.6
WBGene00008101	183465		Q18631	C44H9.6
WBGene00008101	183465		Q18631	C44H9.6
WBGene00008102	179762		Q18632	C44H9.7
WBGene00008102	179762		Q7JLG7	C44H9.7
WBGene00008105	179528		Q18638	C45B11.2
WBGene00008106	3565384		Q7YX55	C45B11.5
WBGene00008107	172746		O17666	aspm-1
WBGene00008110	177744		Q18655	C46C2.2
WBGene00008111	183502		Q18658	C46C2.3
WBGene00008113	177742		Q9U3M0	C46C2.5
WBGene00008114	3565282		Q7YTQ5	C46C2.6
WBGene00008114	3565282		Q1NZ28	C46C2.6
WBGene00008114	3565282		H2L287	C46C2.6
WBGene00008117	175467	Q93379		gsr-1
WBGene00008117	175467	Q93379		gsr-1
WBGene00008117	175467	Q93379		gsr-1
WBGene00008118	183517		Q93381	madf-8
WBGene00008119	175469		Q93382	C46F11.4
WBGene00008120	175468		Q93383	C46F11.5
WBGene00008120	175468		O62100	C46F11.5
WBGene00008121	259497		Q7YX48	C46F11.6
WBGene00008122	183525		Q9U3L9	C47A4.1
WBGene00008123	178339		Q7JKL2	ent-4
WBGene00008123	178339		Q9U3L8	ent-4
WBGene00008123	178339		Q2EEN3	ent-4
WBGene00008124	178340		Q9U3L7	C47A4.3
WBGene00008124	178340		Q9U3L7	C47A4.3
WBGene00008125	183526		Q9U3L6	C47A4.5
WBGene00008126	183529	O45306		sre-21
WBGene00008127	183530	O45307		ddo-1
WBGene00008127	183530		C8JQS2	ddo-1
WBGene00008128	183531		O45308	srab-12
WBGene00008129	3564980		Q7YTQ1	C47A10.12
WBGene00008130	173166		O62104	fbxa-140
WBGene00008131	3565732		Q9U3L5	C47B2.2
WBGene00008131	3565732		Q9U3L5	C47B2.2
WBGene00008132	173171	Q564Q1		gale-1
WBGene00008132	173171	Q564Q1		gale-1
WBGene00008132	173171	Q564Q1		gale-1
WBGene00008132	173171	Q564Q1		gale-1
WBGene00008133	173172		O62109	efsc-1
WBGene00008133	173172		O62108	efsc-1
WBGene00008134	173173		Q9U3L4	C47B2.9
WBGene00008134	173173		Q9U3L4	C47B2.9
WBGene00008134	173173		Q9U3L4	C47B2.9
WBGene00008136	174789		Q18668	C47D12.2
WBGene00008137	183547		Q18666	sfxn-1.4
WBGene00008137	183547		D3KFU4	sfxn-1.4
WBGene00008137	183547		D3KFU4	sfxn-1.4
WBGene00008138	183548		Q18669	C47D12.4
WBGene00008139	183549		Q18665	C47D12.5
WBGene00008140	174793		G5EBZ1	xpf-1
WBGene00008140	174793		G5EBZ1	xpf-1
WBGene00008141	183550		Q18686	C47E8.1
WBGene00008142	183552		Q18687	C47E8.3
WBGene00008143	179970	Q18691		C47E8.4
WBGene00008143	179970	Q18691		C47E8.4
WBGene00008143	179970	Q18691		C47E8.4
WBGene00008144	183553		Q18689	gasr-8
WBGene00008145	179973		G5EEE4	set-5
WBGene00008145	179973		H2FLH6	set-5
WBGene00008145	179973		H2FLH7	set-5
WBGene00008145	179973		K8ESG9	set-5
WBGene00008146	3565778		Q7JLG5	C47E8.9
WBGene00008146	3565778		K8FDY5	C47E8.9
WBGene00008147	177858		Q18683	C47E12.2
WBGene00008147	177858		Q18683	C47E12.2
WBGene00008148	177857		Q18679	C47E12.3
WBGene00008148	177857		A0A061ACH9	C47E12.3
WBGene00008149	177856	Q18680		pyp-1
WBGene00008149	177856	Q18680		pyp-1
WBGene00008149	177856	Q18680		pyp-1
WBGene00008150	177854		Q8I4M2	mam-2
WBGene00008151	177853	Q18674		rrp-1
WBGene00008152	183555		Q18676	C47E12.9
WBGene00008153	183556		Q18675	C47E12.10
WBGene00008153	183556		A0A061AIZ0	C47E12.10
WBGene00008154	183557		Q18682	C47E12.11
WBGene00008154	183557		B2MZB9	C47E12.11
WBGene00008155	3565389		Q7YTQ8	C47E12.12
WBGene00008156	3565731		Q7YTQ7	C47E12.13
WBGene00008157	173107		O62111	C47F8.1
WBGene00008158	183558		O62112	nhr-165
WBGene00008159	183559		G5ECA6	C47F8.3
WBGene00008160	183560		O62113	glct-4
WBGene00008161	183561		O62114	C47F8.5
WBGene00008162	183562		O62115	C47F8.6
WBGene00008163	183563		O62110	C47F8.7
WBGene00008164	174722	Q9NAQ9		C47G2.3
WBGene00008165	174724	Q18695		C47G2.4
WBGene00008166	174725	B2D6K9		saps-1
WBGene00008166	174725	B2D6K9		saps-1
WBGene00008166	174725	B2D6K9		saps-1
WBGene00008167	176353	P34355		acox-1.5
WBGene00008168	183565	P34357		C48B4.3
WBGene00008169	183566	P34360		C48B4.6
WBGene00008170	176350	P34361		C48B4.7
WBGene00008171	176351	P34362		C48B4.8
WBGene00008171	176351		C0P275	C48B4.8
WBGene00008172	183567	P34363		C48B4.9
WBGene00008172	183567	P34363		C48B4.9
WBGene00008173	183568	P34364		C48B4.10
WBGene00008174	183569	P34365		C48B4.11
WBGene00008175	176354		G5ECQ6	C48B4.12
WBGene00008175	176354		G5EFZ6	C48B4.12
WBGene00008176	3565754		Q7YX67	C48B4.13
WBGene00008177	178271		O02227	C48D1.1
WBGene00008177	178271		Q2EEN7	C48D1.1
WBGene00008178	3564995		A0A061ADP6	C48D1.5
WBGene00008178	3564995		A0A061ACF1	C48D1.5
WBGene00008178	3564995		A0A061AIU7	C48D1.5
WBGene00008178	3564995		A0A061AKK5	C48D1.5
WBGene00008180	3564935		Q7YX49	C48D5.3
WBGene00008183	3565509		G5ECF0	rin-1
WBGene00008183	3565509		G5ED02	rin-1
WBGene00008183	3565509		G5EDQ3	rin-1
WBGene00008183	3565509		G5EG71	rin-1
WBGene00008183	3565509		G5EFE4	rin-1
WBGene00008183	3565509		G5EFI0	rin-1
WBGene00008183	3565509		G5EBS9	rin-1
WBGene00008183	3565509		I7LFF0	rin-1
WBGene00008183	3565509		I7J4D1	rin-1
WBGene00008184	183585		O17675	C49A1.1
WBGene00008185	183586		A0A131MB99	best-10
WBGene00008185	183586		A0A131MBH1	best-10
WBGene00008186	173292		O17671	best-11
WBGene00008187	183587		O17676	C49A1.5
WBGene00008188	183588		O17672	clec-115
WBGene00008190	183590		O17678	clec-114
WBGene00008191	183591		O45310	C49A1.10
WBGene00008194	178513		Q9XUF9	C49C3.4
WBGene00008194	178513		U4PBX8	C49C3.4
WBGene00008194	178513		A0A0K3ARI2	C49C3.4
WBGene00008195	178514		Q9XUG3	ceh-88
WBGene00008195	178514		Q9XUG3	ceh-88
WBGene00008196	178515		Q9XUF8	C49C3.6
WBGene00008197	178516		Q9XUF2	C49C3.7
WBGene00008197	178516		Q9XUF2	C49C3.7
WBGene00008198	178517		Q9XUF7	C49C3.8
WBGene00008198	178517		D4PHA1	C49C3.8
WBGene00008199	178519		Q9XUF6	C49C3.9
WBGene00008200	178518		Q9U3L3	C49C3.10
WBGene00008200	178518		D4PHA0	C49C3.10
WBGene00008201	178520		Q9XUG2	C49C3.11
WBGene00008202	178521		Q9XUG1	clec-197
WBGene00008203	183598		Q9XUF4	clec-198
WBGene00008204	183600		Q9XUF1	C49C3.15
WBGene00008205	181370	O17680		sams-1
WBGene00008205	181370	O17680		sams-1
WBGene00008205	181370	O17680		sams-1
WBGene00008206	181371	O17679		set-6
WBGene00008207	183612		O17682	C49F5.3
WBGene00008208	183613	O17683		nhr-167
WBGene00008209	183614		O17681	C49F5.5
WBGene00008210	181372		O17684	C49F5.6
WBGene00008211	183615		O17685	C49F5.7
WBGene00008212	259728		Q8MQA0	C49F5.8
WBGene00008213	41656984		Q18710	C49F8.1
WBGene00008214	181458		Q18712	gem-1
WBGene00008215	181459		Q18709	C49F8.3
WBGene00008216	183626		Q9XXK9	mec-19
WBGene00008217	183632		O17688	C50B6.1
WBGene00008218	179810		O17687	nasp-2
WBGene00008219	179811		O17689	C50B6.3
WBGene00008219	179811		H2L2E3	C50B6.3
WBGene00008220	179813		P91982	C50B6.7
WBGene00008221	353455		P91983	nhr-168
WBGene00008221	353455		P91983	nhr-168
WBGene00008221	353455		F5GUE4	nhr-168
WBGene00008222	183636		O17690	C50B6.9
WBGene00008223	183638		P91985	lgc-48
WBGene00008224	179840		Q18724	slrp-1
WBGene00008225	183640	Q18726		nuaf-1
WBGene00008226	179842		Q18728	C50B8.4
WBGene00008227	179843		G5EFR2	C50B8.5
WBGene00008228	3565404		Q7YX43	C50B8.6
WBGene00008229	179333		Q18739	C50F4.1
WBGene00008230	179335	Q27483		pfk-1.2
WBGene00008231	183677		Q18740	tag-329
WBGene00008232	183678		Q18741	C50F4.4
WBGene00008233	179332		Q18743	C50F4.8
WBGene00008234	183680		Q18744	C50F4.9
WBGene00008235	179334		Q18738	C50F4.10
WBGene00008236	179336		Q18746	C50F4.12
WBGene00008237	179342	Q968A5		nstp-10
WBGene00008237	179342		D6R8W5	nstp-10
WBGene00008238	179337		Q95ZW9	C50F4.16
WBGene00008239	179381		G5EG04	fshr-1
WBGene00008239	179381		L8EC40	fshr-1
WBGene00008240	183688		Q18762	C50H2.4
WBGene00008241	183689		Q18763	C50H2.5
WBGene00008242	183690		Q18764	ceh-75
WBGene00008243	183691		Q18765	C50H2.7
WBGene00008244	260084		Q8WQG0	fipr-11
WBGene00008245	3565989		Q7YX54	fipr-10
WBGene00008246	259642		G5ED91	C50H2.13
WBGene00008247	183703		Q18768	srsx-26
WBGene00008247	183703		Q18768	srsx-26
WBGene00008248	183704		Q18766	srsx-27
WBGene00008249	183705		Q18770	srsx-28
WBGene00008250	183706		Q18769	srsx-29
WBGene00008251	183707		Q18767	srsx-30
WBGene00008252	183708		Q18771	C51E3.6
WBGene00008254	266923		Q8MQ99	C51E3.9
WBGene00008254	266923		G3MU39	C51E3.9
WBGene00008255	3564871		Q7YTP7	C51E3.10
WBGene00008255	3564871		E1B6U0	C51E3.10
WBGene00008255	3564871		E7EM35	C51E3.10
WBGene00008256	174655		Q09514	glb-12
WBGene00008257	183712	Q09284		C52A11.3
WBGene00008258	179642	Q18788		mans-2
WBGene00008259	183728		Q18784	C52E4.7
WBGene00008260	181420		Q18793	C52G5.2
WBGene00008261	3565528		Q7YX50	C52G5.3
WBGene00008262	179958		O17694	ril-1
WBGene00008262	179958		O17694	ril-1
WBGene00008263	179957		C8JQS4	C53A5.2
WBGene00008265	183736		O17697	kcnl-4
WBGene00008265	183736		D5MCU0	kcnl-4
WBGene00008266	183737		O17698	C53A5.6
WBGene00008266	183737		D5MCU1	C53A5.6
WBGene00008267	183739		O17700	C53A5.9
WBGene00008268	183740		O17701	srt-32
WBGene00008269	183741		O17702	C53A5.11
WBGene00008270	179961		O62118	C53A5.13
WBGene00008270	179961		D5MCT9	C53A5.13
WBGene00008271	183742		Q18795	suex-2
WBGene00008272	353430		Q18796	C53B4.2
WBGene00008273	177714		Q18797	C53B4.3
WBGene00008273	177714		Q18797	C53B4.3
WBGene00008274	177716		Q7JM28	pdzd-8
WBGene00008274	177716		Q18798	pdzd-8
WBGene00008274	177716		Q5WRP6	pdzd-8
WBGene00008274	177716		A5JYS5	pdzd-8
WBGene00008274	177716		X5LQ14	pdzd-8
WBGene00008274	177716		X5LXA1	pdzd-8
WBGene00008274	177716		A0A486WVD0	pdzd-8
WBGene00008274	177716		A0A486WWK3	pdzd-8
WBGene00008274	177716		A0A486WXK7	pdzd-8
WBGene00008274	177716		A0A486WTK6	pdzd-8
WBGene00008274	177716		A0A486WX00	pdzd-8
WBGene00008275	183743		Q18800	nstp-1
WBGene00008275	183743		X5M5W6	nstp-1
WBGene00008277	177718		G5EG70	mltn-12
WBGene00008278	183747		Q9XXU4	npr-10
WBGene00008278	183747		Q9XXU4	npr-10
WBGene00008278	183747		Q6EUU1	npr-10
WBGene00008279	183748		Q9XXU2	C53C7.3
WBGene00008280	183758	Q18812		acc-2
WBGene00008281	183759		Q18810	C53D6.4
WBGene00008281	183759		X5LXA5	C53D6.4
WBGene00008283	177720		Q18809	C53D6.6
WBGene00008283	177720		Q18809	C53D6.6
WBGene00008284	183761		Q18813	C53D6.7
WBGene00008285	3564864		Q7YX58	C53D6.8
WBGene00008286	183766		Q18818	C54C6.4
WBGene00008287	183767		Q18819	C54C6.5
WBGene00008288	353416	Q86D25		C54C6.6
WBGene00008289	183768	O17706		nhr-169
WBGene00008290	183769		O02230	bgnt-1.8
WBGene00008291	183770		O02231	C54C8.3
WBGene00008292	173112		O02232	C54C8.4
WBGene00008293	183771		O17708	glct-5
WBGene00008294	183773		O17705	clec-11
WBGene00008295	183774		O17707	nlp-39
WBGene00008296	183779		G5ECX9	cdr-2
WBGene00008297	183780		Q18832	cdr-3
WBGene00008298	179704		Q18827	C54D10.3
WBGene00008299	183781		Q18833	C54D10.4
WBGene00008300	183782		Q18828	C54D10.5
WBGene00008301	183784		B6EU64	pals-39
WBGene00008302	183785		Q18826	pals-38
